"","ADED","zipcode"
"294",26017,"11357"
"295",26018,"11357"
"296",26019,"11360"
"297",26020,"11359"
"297.1",26020,"11360"
"298",26037,"11358"
"299",26021,"11360"
"300",26022,"11360"
"301",26023,"11360"
"302",26024,"11360"
"303",26025,"11360"
"304",26026,"11360"
"305",26027,"11360"
"305.1",26027,"11361"
"305.2",26027,"11362"
"306",26028,"11361"
"306.1",26028,"11362"
"306.2",26028,"11363"
"307",26029,"11362"
"307.1",26029,"11363"
"308",26030,"11362"
"308.1",26030,"11363"
"309",26035,"11362"
"309.1",26035,"11020"
"310",26036,"11358"
"311",26031,"11363"
"311.1",26031,"11021"
"312",26032,"11363"
"312.1",26032,"11021"
"313",26033,"11362"
"313.1",26033,"11363"
"313.2",26033,"11020"
"313.3",26033,"11021"
"314",26034,"11362"
"314.1",26034,"11363"
"315",26038,"11361"
"315.1",26038,"11364"
"316",26039,"11358"
"317",26040,"11361"
"317.1",26040,"11362"
"317.2",26040,"11364"
"318",26041,"11361"
"319",26042,"11361"
"319.1",26042,"11364"
"320",26043,"11361"
"320.1",26043,"11362"
"320.2",26043,"11364"
"321",26044,"11364"
"322",26045,"11362"
"323",26046,"11362"
"324",26047,"11362"
"325",26048,"11362"
"325.1",26048,"11020"
"326",26049,"11362"
"327",26050,"11361"
"327.1",26050,"11362"
"327.2",26050,"11364"
"328",26051,"11361"
"329",26052,"11361"
"330",26053,"11361"
"331",26054,"11358"
"331.1",26054,"11361"
"332",26055,"11358"
"333",26056,"11358"
"334",26057,"11358"
"335",36019,"11102"
"335.1",36019,"11103"
"336",26058,"11358"
"336.1",26058,"11361"
"337",26059,"11358"
"338",26060,"11358"
"339",26061,"11357"
"339.1",26061,"11358"
"339.2",26061,"11360"
"339.3",26061,"11361"
"340",26062,"11358"
"340.1",26062,"11360"
"340.2",26062,"11361"
"341",26063,"11358"
"341.1",26063,"11361"
"342",26064,"11358"
"342.1",26064,"11361"
"343",26065,"11361"
"344",26066,"11360"
"344.1",26066,"11361"
"345",26067,"11360"
"345.1",26067,"11361"
"346",34022,"11370"
"346.1",34022,"11372"
"347",26068,"11360"
"347.1",26068,"11361"
"348",26069,"11361"
"349",26070,"11361"
"350",26071,"11362"
"350.1",26071,"11005"
"350.2",26071,"11020"
"350.3",26071,"11042"
"351",26072,"11362"
"351.1",26072,"11004"
"351.2",26072,"11005"
"351.3",26072,"11426"
"352",26073,"11362"
"352.1",26073,"11004"
"352.2",26073,"11005"
"352.3",26073,"11042"
"353",26074,"11004"
"353.1",26074,"11005"
"353.2",26074,"11040"
"353.3",26074,"11042"
"354",26075,"11004"
"354.1",26075,"11040"
"355",26076,"11004"
"355.1",26076,"11040"
"356",26078,"11362"
"357",26079,"11357"
"358",26080,"11358"
"358.1",26080,"11361"
"359",26081,"11361"
"359.1",26081,"11362"
"360",26082,"11361"
"361",26083,"11358"
"362",26084,"11005"
"363",26085,"11360"
"364",27001,"11367"
"365",27002,"11415"
"365.1",27002,"11418"
"366",27003,"11415"
"366.1",27003,"11418"
"367",27004,"11415"
"368",27005,"11415"
"368.1",27005,"11418"
"369",27006,"11375"
"369.1",27006,"11415"
"369.2",27006,"11424"
"369.3",27006,"11435"
"370",27007,"11415"
"371",27008,"11415"
"371.1",27008,"11418"
"371.2",27008,"11435"
"372",27009,"11415"
"372.1",27009,"11418"
"372.2",27009,"11435"
"373",27010,"11435"
"374",27011,"11415"
"374.1",27011,"11435"
"375",27012,"11435"
"376",28035,"11375"
"377",27013,"11435"
"378",27014,"11435"
"379",27015,"11367"
"379.1",27015,"11424"
"379.2",27015,"11435"
"380",27016,"11435"
"381",27017,"11367"
"381.1",27017,"11375"
"381.2",27017,"11424"
"381.3",27017,"11435"
"382",27018,"11415"
"383",27019,"11375"
"384",27020,"11375"
"385",27021,"11375"
"386",27022,"11415"
"387",27023,"11357"
"388",27024,"11367"
"388.1",27024,"11375"
"389",27025,"11367"
"390",27026,"11367"
"391",27027,"11367"
"392",27028,"11367"
"393",27029,"11367"
"394",27030,"11367"
"395",27031,"11367"
"396",27032,"11365"
"396.1",27032,"11366"
"396.2",27032,"11367"
"397",27033,"11365"
"397.1",27033,"11366"
"398",27034,"11365"
"398.1",27034,"11366"
"398.2",27034,"11367"
"399",27035,"11365"
"399.1",27035,"11367"
"400",27036,"11367"
"401",27037,"11365"
"402",27038,"11365"
"403",27039,"11365"
"403.1",27039,"11367"
"404",27040,"11365"
"404.1",27040,"11367"
"405",27041,"11365"
"405.1",27041,"11367"
"406",27042,"11367"
"407",27043,"11367"
"408",27044,"11367"
"409",27058,"11367"
"409.1",27058,"11368"
"410",27045,"11367"
"410.1",27045,"11368"
"410.2",27045,"11375"
"411",27046,"11375"
"412",27047,"11375"
"413",27048,"11374"
"413.1",27048,"11375"
"414",27049,"11374"
"415",27050,"11374"
"415.1",27050,"11375"
"416",27071,"11367"
"416.1",27071,"11375"
"416.2",27071,"11424"
"417",27072,"11367"
"417.1",27072,"11375"
"418",43016,"11225"
"419",27051,"11357"
"420",27052,"11374"
"420.1",27052,"11375"
"421",27053,"11374"
"421.1",27053,"11375"
"422",27054,"11375"
"423",27055,"11375"
"424",27056,"11375"
"425",27057,"11356"
"425.1",27057,"11357"
"426",27073,"11367"
"426.1",27073,"11368"
"426.2",27073,"11375"
"427",28036,"11374"
"427.1",28036,"11375"
"428",27059,"11356"
"428.1",27059,"11357"
"429",27060,"11354"
"429.1",27060,"11356"
"429.2",27060,"11357"
"430",27061,"11354"
"430.1",27061,"11356"
"431",27068,"11356"
"432",27062,"11354"
"432.1",27062,"11356"
"433",27063,"11356"
"433.1",27063,"11357"
"434",27064,"11356"
"435",27069,"11415"
"435.1",27069,"11418"
"436",27070,"11367"
"436.1",27070,"11375"
"437",43019,"11225"
"438",27065,"11356"
"439",27066,"11356"
"440",27067,"11356"
"441",27087,"11356"
"442",27074,"11368"
"443",27075,"11368"
"444",27078,"11371"
"445",27079,"11365"
"446",27080,"11367"
"446.1",27080,"11435"
"447",27081,"11354"
"447.1",27081,"11356"
"448",27082,"11415"
"448.1",27082,"11418"
"449",27083,"11415"
"449.1",27083,"11418"
"450",27084,"11365"
"450.1",27084,"11367"
"451",27085,"11365"
"451.1",27085,"11367"
"452",27086,"11374"
"452.1",27086,"11375"
"453",28030,"11375"
"454",27088,"11415"
"455",27089,"11367"
"456",28001,"11418"
"457",28002,"11418"
"458",28003,"11418"
"459",28004,"11418"
"460",28005,"11415"
"460.1",28005,"11418"
"461",28006,"11379"
"461.1",28006,"11385"
"462",28007,"11415"
"462.1",28007,"11418"
"463",28008,"11415"
"463.1",28008,"11418"
"464",28009,"11418"
"465",28031,"11375"
"466",28032,"11375"
"467",28010,"11415"
"467.1",28010,"11418"
"468",28011,"11415"
"468.1",28011,"11418"
"469",28012,"11375"
"469.1",28012,"11415"
"469.2",28012,"11418"
"470",28013,"11418"
"471",28014,"11385"
"472",28015,"11375"
"472.1",28015,"11385"
"472.2",28015,"11415"
"472.3",28015,"11418"
"472.4",28015,"11421"
"473",28016,"11375"
"473.1",28016,"11385"
"473.2",28016,"11421"
"474",28017,"11374"
"474.1",28017,"11385"
"475",28033,"11375"
"476",28034,"11375"
"477",28018,"11374"
"477.1",28018,"11375"
"477.2",28018,"11385"
"477.3",28018,"11418"
"478",28019,"11375"
"479",28020,"11375"
"480",28021,"11375"
"481",28022,"11375"
"482",28023,"11375"
"483",28024,"11375"
"484",28025,"11375"
"484.1",28025,"11415"
"484.2",28025,"11424"
"485",28026,"11375"
"486",28027,"11375"
"487",28028,"11375"
"488",28029,"11375"
"489",36020,"11103"
"489.1",36020,"11106"
"490",28037,"11374"
"490.1",28037,"11375"
"491",28038,"11374"
"491.1",28038,"11375"
"492",28039,"11375"
"493",28040,"11374"
"493.1",28040,"11375"
"494",28041,"11374"
"494.1",28041,"11375"
"495",28042,"11374"
"495.1",28042,"11375"
"496",28043,"11375"
"497",28044,"11374"
"497.1",28044,"11375"
"498",28045,"11374"
"498.1",28045,"11375"
"499",28046,"11375"
"500",28047,"11375"
"501",28048,"11375"
"502",28049,"11375"
"503",28050,"11374"
"504",28051,"11374"
"505",28054,"11374"
"506",28055,"11374"
"506.1",28055,"11375"
"507",28056,"11374"
"508",28057,"11374"
"509",28058,"11374"
"510",28059,"11374"
"511",28060,"11373"
"511.1",28060,"11374"
"512",28061,"11374"
"512.1",28061,"11379"
"513",28062,"11374"
"514",28063,"11374"
"514.1",28063,"11375"
"515",28064,"11374"
"515.1",28064,"11379"
"516",28065,"11374"
"516.1",28065,"11375"
"517",28066,"11375"
"518",28067,"11375"
"519",28068,"11374"
"519.1",28068,"11375"
"519.2",28068,"11379"
"519.3",28068,"11385"
"520",28069,"11375"
"521",28070,"11379"
"521.1",28070,"11385"
"522",28071,"11385"
"522.1",28071,"11421"
"523",28072,"11374"
"523.1",28072,"11379"
"523.2",28072,"11385"
"524",28073,"11379"
"524.1",28073,"11385"
"525",28074,"11374"
"525.1",28074,"11379"
"526",28075,"11379"
"527",34023,"11370"
"527.1",34023,"11372"
"528",28076,"11379"
"529",28077,"11379"
"530",28078,"11379"
"530.1",28078,"11385"
"531",28079,"11418"
"532",28080,"11375"
"532.1",28080,"11418"
"533",28081,"11375"
"533.1",28081,"11415"
"534",28082,"11385"
"535",28083,"11379"
"536",28084,"11375"
"537",28085,"11374"
"537.1",28085,"11375"
"538",29042,"11581"
"538.1",29042,"11422"
"539",28086,"11374"
"539.1",28086,"11379"
"540",28087,"11375"
"541",28088,"11375"
"542",28089,"11373"
"542.1",28089,"11374"
"542.2",28089,"11379"
"543",29001,"11432"
"544",29002,"11432"
"545",29003,"11432"
"546",29004,"11432"
"547",29005,"11432"
"547.1",29005,"11433"
"548",29006,"11423"
"548.1",29006,"11432"
"549",29007,"11423"
"549.1",29007,"11432"
"550",29008,"11423"
"550.1",29008,"11432"
"551",29009,"11423"
"551.1",29009,"11432"
"551.2",29009,"11433"
"552",29010,"11423"
"552.1",29010,"11432"
"553",29011,"11423"
"553.1",29011,"11432"
"554",29012,"11423"
"555",29013,"11423"
"556",29014,"11412"
"556.1",29014,"11423"
"556.2",29014,"11433"
"557",29015,"11432"
"558",29016,"11423"
"558.1",29016,"11432"
"558.2",29016,"11433"
"559",29017,"11432"
"559.1",29017,"11433"
"560",29018,"11432"
"560.1",29018,"11433"
"560.2",29018,"11451"
"561",29019,"11412"
"561.1",29019,"11433"
"562",29020,"11433"
"563",34024,"11370"
"563.1",34024,"11372"
"564",29021,"11412"
"564.1",29021,"11423"
"565",29022,"11412"
"566",29023,"11433"
"567",29024,"11412"
"567.1",29024,"11433"
"567.2",29024,"11434"
"568",29025,"11433"
"568.1",29025,"11434"
"569",29026,"11412"
"569.1",29026,"11434"
"570",29027,"11412"
"571",29028,"11412"
"571.1",29028,"11434"
"572",29029,"11411"
"572.1",29029,"11412"
"572.2",29029,"11413"
"573",29030,"11412"
"573.1",29030,"11413"
"574",34056,"11377"
"575",29031,"11413"
"576",29032,"11412"
"576.1",29032,"11413"
"576.2",29032,"11434"
"577",29033,"11434"
"578",29034,"11434"
"579",29035,"11434"
"580",29036,"11423"
"581",29037,"11423"
"581.1",29037,"11428"
"582",29038,"11423"
"583",29039,"11423"
"583.1",29039,"11432"
"584",29040,"11413"
"584.1",29040,"11434"
"585",29041,"11413"
"585.1",29041,"11434"
"586",29043,"11581"
"586.1",29043,"11422"
"587",29044,"11422"
"588",29045,"11422"
"589",29046,"11581"
"589.1",29046,"11422"
"590",29047,"11581"
"590.1",29047,"11422"
"591",29048,"11581"
"591.1",29048,"11422"
"592",29049,"11422"
"593",29050,"11413"
"594",29051,"11413"
"595",29052,"11413"
"596",29053,"11413"
"596.1",29053,"11422"
"597",29054,"11413"
"597.1",29054,"11422"
"598",34057,"11377"
"599",29055,"11413"
"600",29056,"11413"
"601",29057,"11411"
"601.1",29057,"11413"
"602",29058,"11413"
"603",29059,"11413"
"604",29060,"11411"
"604.1",29060,"11413"
"604.2",29060,"11422"
"605",29061,"11413"
"605.1",29061,"11422"
"606",29062,"11413"
"606.1",29062,"11422"
"607",29063,"11413"
"607.1",29063,"11422"
"608",29064,"11413"
"608.1",29064,"11422"
"609",29065,"11413"
"610",29066,"11411"
"610.1",29066,"11580"
"610.2",29066,"11422"
"611",29067,"11580"
"611.1",29067,"11422"
"612",29068,"11413"
"612.1",29068,"11580"
"612.2",29068,"11422"
"613",29069,"11413"
"613.1",29069,"11434"
"614",29070,"11433"
"615",29071,"11581"
"615.1",29071,"11422"
"616",29072,"11432"
"617",29073,"11432"
"618",29074,"11433"
"619",29075,"11412"
"620",29076,"11423"
"620.1",29076,"11427"
"620.2",29076,"11428"
"621",29077,"11422"
"622",29078,"11581"
"622.1",29078,"11422"
"623",29079,"11413"
"624",29080,"11412"
"625",30001,"11373"
"625.1",30001,"11374"
"625.2",30001,"11379"
"626",30002,"11374"
"626.1",30002,"11379"
"627",30003,"11374"
"627.1",30003,"11379"
"628",30004,"11374"
"628.1",30004,"11379"
"629",30005,"11379"
"630",30006,"11379"
"631",30034,"11373"
"631.1",30034,"11379"
"632",30007,"11379"
"633",30008,"11379"
"634",30009,"11378"
"634.1",30009,"11379"
"635",30010,"11379"
"636",30011,"11373"
"636.1",30011,"11378"
"636.2",30011,"11379"
"637",30012,"11378"
"637.1",30012,"11379"
"638",30013,"11378"
"638.1",30013,"11379"
"639",30014,"11378"
"639.1",30014,"11379"
"640",30035,"11103"
"641",31008,"11420"
"642",30015,"11378"
"642.1",30015,"11379"
"643",30016,"11378"
"644",30017,"11378"
"645",30018,"11378"
"645.1",30018,"11379"
"646",30019,"11377"
"646.1",30019,"11378"
"647",30020,"11373"
"647.1",30020,"11374"
"647.2",30020,"11379"
"648",30021,"11378"
"649",30022,"11373"
"649.1",30022,"11378"
"649.2",30022,"11379"
"650",30036,"11377"
"651",30023,"11377"
"651.1",30023,"11378"
"652",30024,"11377"
"652.1",30024,"11378"
"653",30025,"11377"
"653.1",30025,"11378"
"654",30026,"11378"
"655",30027,"11373"
"655.1",30027,"11377"
"655.2",30027,"11378"
"656",30028,"11377"
"656.1",30028,"11378"
"657",30029,"11373"
"657.1",30029,"11377"
"657.2",30029,"11378"
"658",30030,"11373"
"658.1",30030,"11379"
"659",30031,"11373"
"660",30032,"11373"
"660.1",30032,"11374"
"660.2",30032,"11379"
"661",30033,"11374"
"661.1",30033,"11379"
"662",30037,"11377"
"662.1",30037,"11378"
"663",30038,"11101"
"663.1",30038,"11106"
"664",30039,"11377"
"665",30040,"11377"
"666",30041,"11377"
"667",30042,"11377"
"668",30043,"11377"
"669",30044,"11377"
"670",30045,"11377"
"671",30046,"11377"
"671.1",30046,"11104"
"672",30047,"11377"
"673",30048,"11377"
"674",30049,"11377"
"674.1",30049,"11104"
"675",30050,"11377"
"675.1",30050,"11104"
"676",30051,"11377"
"677",30052,"11377"
"678",30053,"11377"
"679",30054,"11377"
"680",30055,"11377"
"680.1",30055,"11101"
"680.2",30055,"11104"
"681",30056,"11106"
"682",30057,"11377"
"682.1",30057,"11103"
"683",30058,"11377"
"683.1",30058,"11101"
"683.2",30058,"11103"
"683.3",30058,"11104"
"684",30059,"11377"
"684.1",30059,"11101"
"684.2",30059,"11103"
"685",30060,"11377"
"685.1",30060,"11103"
"686",30061,"11377"
"687",30062,"11101"
"687.1",30062,"11103"
"687.2",30062,"11104"
"688",30063,"11103"
"689",30064,"11103"
"690",30065,"11101"
"690.1",30065,"11104"
"691",30066,"11101"
"691.1",30066,"11103"
"692",30067,"11101"
"692.1",30067,"11103"
"692.2",30067,"11106"
"693",30068,"11106"
"694",30069,"11106"
"695",30070,"11373"
"695.1",30070,"11378"
"695.2",30070,"11379"
"696",30071,"11378"
"697",30072,"11377"
"697.1",30072,"11378"
"698",31006,"11420"
"699",34058,"11373"
"699.1",34058,"11377"
"700",30073,"11378"
"700.1",30073,"11379"
"701",30074,"11378"
"702",30075,"11377"
"703",30076,"11377"
"703.1",30076,"11104"
"704",30077,"11377"
"705",30078,"11103"
"706",30079,"11101"
"706.1",30079,"11106"
"707",30080,"11104"
"708",30081,"11377"
"709",30082,"11377"
"710",31001,"11417"
"710.1",31001,"11419"
